COLLOCATES	WORDS	SPAN	CORPUS	SENTENCE_NUM	MATCHED_SENTENCE
saja	riang	'2	corp_iNwsCrw2012_1M	stn._521764	hanya bermain diliputi rasa <node>riang</node> gembira <colloc span=2>saja</colloc> di halaman
kami	riang	'2	corp_iNwsCrw2012_1M	stn._719618	NA di tengah rasa <node>riang</node> gembira <colloc span=2>kami</colloc> mendadak kami
itu	riang	'2	corp_iNwsCrw2012_1M	stn._860626	yang penuh antusiasme dan <node>riang</node> gembira <colloc span=2>itu</colloc> NA NA
anak-anak	riang	'2	corp_iWeb2011_300K	stn._65569	saja sajikan dengan perasaan <node>riang</node> sehingga <colloc span=2>anak-anak</colloc> kita pun
lamat-lamat	riang	'2	corp_iWeb2011_300K	stn._99129	NA NA sayang rasa <node>riang</node> itu <colloc span=2>lamat-lamat</colloc> mulai terusik
kita	riang	'2	corp_iWeb2011_300K	stn._245509	kafein bisa meningkatkan rasa <node>riang</node> membuat <colloc span=2>kita</colloc> merasa lebih
dan	riang	'2	corp_iWeb2012_1M	stn._54352	emosi positif seperti senang <node>riang</node> bertekad <colloc span=2>dan</colloc> emosi-emosi lainnya
hatinya	riang	'2	corp_iWeb2012_1M	stn._220435	NA NA dan sedikit <node>riang</node> dalam <colloc span=2>hatinya</colloc> karena pria
bhakti	riang	'2	corp_iWeb2012_1M	stn._247733	mendapatkan jalan yang penuh <node>riang</node> dalam <colloc span=2>bhakti</colloc> NA NA
tambah	riang	'2	corp_iWeb2012_1M	stn._836748	menit seperti rasa senang <node>riang</node> gembira <colloc span=2>tambah</colloc> pede terangsang
bahagia	riang	'2	corp_iWeb2012_1M	stn._903986	keluarga penuh dengan rasa <node>riang</node> dan <colloc span=2>bahagia</colloc> NA NA
dada	riang	'3	corp_iMxd2012_1M	stn._89846	juga rasa haru dan <node>riang</node> pasti mendenyuti <colloc span=3>dada</colloc> setiap
bunga	riang	'3	corp_iMxd2012_1M	stn._372206	bahagia hati dengan canda <node>riang</node> di taman <colloc span=3>bunga</colloc> dilingkungan
dan	riang	'3	corp_iMxd2012_1M	stn._527195	dickens berbaur antara rasa <node>riang</node> yang murung <colloc span=3>dan</colloc> rasa
duh	riang	'3	corp_iMxd2012_1M	stn._536454	haru disertai perasaan suka <node>riang</node> bagi tamunya <colloc span=3>duh</colloc> kakek
yang	riang	'3	corp_iMxd2012_1M	stn._755643	istimewa itu karena rasa <node>riang</node> dan gembira <colloc span=3>yang</colloc> mampu
yang	riang	'3	corp_iNwsCrw2011_1M	stn._116142	tak mampu menyembunyikan rasa <node>riang</node> dan bangga <colloc span=3>yang</colloc> terpendam
di	riang	'3	corp_iNwsCrw2012_1M	stn._521764	hanya bermain diliputi rasa <node>riang</node> gembira saja <colloc span=3>di</colloc> halaman
mendadak	riang	'3	corp_iNwsCrw2012_1M	stn._719618	NA di tengah rasa <node>riang</node> gembira kami <colloc span=3>mendadak</colloc> kami
kita	riang	'3	corp_iWeb2011_300K	stn._65569	saja sajikan dengan perasaan <node>riang</node> sehingga anak-anak <colloc span=3>kita</colloc> pun
mulai	riang	'3	corp_iWeb2011_300K	stn._99129	NA NA sayang rasa <node>riang</node> itu lamat-lamat <colloc span=3>mulai</colloc> terusik
merasa	riang	'3	corp_iWeb2011_300K	stn._245509	kafein bisa meningkatkan rasa <node>riang</node> membuat kita <colloc span=3>merasa</colloc> lebih
emosi-emosi	riang	'3	corp_iWeb2012_1M	stn._54352	emosi positif seperti senang <node>riang</node> bertekad dan <colloc span=3>emosi-emosi</colloc> lainnya
karena	riang	'3	corp_iWeb2012_1M	stn._220435	NA NA dan sedikit <node>riang</node> dalam hatinya <colloc span=3>karena</colloc> pria
pede	riang	'3	corp_iWeb2012_1M	stn._836748	menit seperti rasa senang <node>riang</node> gembira tambah <colloc span=3>pede</colloc> terangsang
setiap	riang	'4	corp_iMxd2012_1M	stn._89846	juga rasa haru dan <node>riang</node> pasti mendenyuti dada <colloc span=4>setiap</colloc>
dilingkungan	riang	'4	corp_iMxd2012_1M	stn._372206	bahagia hati dengan canda <node>riang</node> di taman bunga <colloc span=4>dilingkungan</colloc>
rasa	riang	'4	corp_iMxd2012_1M	stn._527195	dickens berbaur antara rasa <node>riang</node> yang murung dan <colloc span=4>rasa</colloc>
kakek	riang	'4	corp_iMxd2012_1M	stn._536454	haru disertai perasaan suka <node>riang</node> bagi tamunya duh <colloc span=4>kakek</colloc>
mampu	riang	'4	corp_iMxd2012_1M	stn._755643	istimewa itu karena rasa <node>riang</node> dan gembira yang <colloc span=4>mampu</colloc>
terpendam	riang	'4	corp_iNwsCrw2011_1M	stn._116142	tak mampu menyembunyikan rasa <node>riang</node> dan bangga yang <colloc span=4>terpendam</colloc>
halaman	riang	'4	corp_iNwsCrw2012_1M	stn._521764	hanya bermain diliputi rasa <node>riang</node> gembira saja di <colloc span=4>halaman</colloc>
kami	riang	'4	corp_iNwsCrw2012_1M	stn._719618	NA di tengah rasa <node>riang</node> gembira kami mendadak <colloc span=4>kami</colloc>
pun	riang	'4	corp_iWeb2011_300K	stn._65569	saja sajikan dengan perasaan <node>riang</node> sehingga anak-anak kita <colloc span=4>pun</colloc>
terusik	riang	'4	corp_iWeb2011_300K	stn._99129	NA NA sayang rasa <node>riang</node> itu lamat-lamat mulai <colloc span=4>terusik</colloc>
lebih	riang	'4	corp_iWeb2011_300K	stn._245509	kafein bisa meningkatkan rasa <node>riang</node> membuat kita merasa <colloc span=4>lebih</colloc>
lainnya	riang	'4	corp_iWeb2012_1M	stn._54352	emosi positif seperti senang <node>riang</node> bertekad dan emosi-emosi <colloc span=4>lainnya</colloc>
pria	riang	'4	corp_iWeb2012_1M	stn._220435	NA NA dan sedikit <node>riang</node> dalam hatinya karena <colloc span=4>pria</colloc>
terangsang	riang	'4	corp_iWeb2012_1M	stn._836748	menit seperti rasa senang <node>riang</node> gembira tambah pede <colloc span=4>terangsang</colloc>
moral	bahagia	'-4	corp_iMxd2012_1M	stn._720228	<colloc span=-4>moral</colloc> yang baik mengakibatkan <node>bahagia</node> yang sejati NA NA
laut	bahagia	'-4	corp_iMxd2012_1M	stn._724138	<colloc span=-4>laut</colloc> harus menyerahkan ruang <node>bahagia</node> yang sangat penting untuk
rasa	bahagia	'-4	corp_iMxd2012_1M	stn._741515	<colloc span=-4>rasa</colloc> tenang tenteram dan <node>bahagia</node> dalam keluarga NA NA
tak	bahagia	'-4	corp_iMxd2012_1M	stn._750613	<colloc span=-4>tak</colloc> bisa menyembunyikan rasa <node>bahagia</node> ku akhirnya riwayat ku
membisikkan	bahagia	'-4	corp_iMxd2012_1M	stn._760556	<colloc span=-4>membisikkan</colloc> dengan lembut curahan <node>bahagia</node> kehamilannya sambil melekatkan tangan
melanjutkan	bahagia	'-4	corp_iMxd2012_1M	stn._763570	<colloc span=-4>melanjutkan</colloc> sarapnnya dengan perasaan <node>bahagia</node> NA NA NA NA
inilah	bahagia	'-4	corp_iMxd2012_1M	stn._778368	<colloc span=-4>inilah</colloc> yang menyemburatkan rona <node>bahagia</node> di muka anak bungsu
lagi	bahagia	'-4	corp_iMxd2012_1M	stn._784452	<colloc span=-4>lagi</colloc> mengandung rasa mengharap <node>bahagia</node> dunia maya NA NA
tidak	bahagia	'-4	corp_iMxd2012_1M	stn._803485	<colloc span=-4>tidak</colloc> pernah punya ekspresi <node>bahagia</node> sebelumnya NA NA NA
sangat	bahagia	'-4	corp_iMxd2012_1M	stn._805364	<colloc span=-4>sangat</colloc> lelah namun rasa <node>bahagia</node> itu mampu mengatasi rasa
para	bahagia	'-4	corp_iMxd2012_1M	stn._814834	<colloc span=-4>para</colloc> panglimanya dengan rasa <node>bahagia</node> sedih dan duka yang
penguasa	bahagia	'-4	corp_iMxd2012_1M	stn._822150	<colloc span=-4>penguasa</colloc> satu-satunya yang penuh <node>bahagia</node> raja di atas segala
pedih	bahagia	'-4	corp_iMxd2012_1M	stn._822291	<colloc span=-4>pedih</colloc> terasa tetapi ada <node>bahagia</node> yang membuncah NA NA
dan	bahagia	'-4	corp_iMxd2012_1M	stn._829197	<colloc span=-4>dan</colloc> perasaan positif dan <node>bahagia</node> ketika memikirkan hal tersebut
dari	bahagia	'-4	corp_iMxd2012_1M	stn._850138	<colloc span=-4>dari</colloc> tujuan hidup selain <node>bahagia</node> NA NA NA NA
sungguh	bahagia	'-4	corp_iMxd2012_1M	stn._856265	<colloc span=-4>sungguh</colloc> tak ada perasaan <node>bahagia</node> di hatiku selain kehadiranmu
wacana	bahagia	'-4	corp_iMxd2012_1M	stn._856633	<colloc span=-4>wacana</colloc> adalah tiga penyebab <node>bahagia</node> atau dengan kata lain
penting	bahagia	'-4	corp_iMxd2012_1M	stn._880451	<colloc span=-4>penting</colloc> adalah menumbuhkan rasa <node>bahagia</node> atas pilihan hidup yang
tetap	bahagia	'-4	corp_iMxd2012_1M	stn._889633	<colloc span=-4>tetap</colloc> beri zu rasa <node>bahagia</node> NA NA NA NA
sejak	bahagia	'-4	corp_iMxd2012_1M	stn._889770	<colloc span=-4>sejak</colloc> muda sehingga rasa <node>bahagia</node> muncul di tengah-tengah keluarga
tergambarkan	bahagia	'-4	corp_iMxd2012_1M	stn._903966	<colloc span=-4>tergambarkan</colloc> rasa gembira dan <node>bahagia</node> kami bisa berkumpul dengan
rasa	bahagia	'-4	corp_iMxd2012_1M	stn._916079	<colloc span=-4>rasa</colloc> senang dan rasa <node>bahagia</node> sekaligus NA NA NA
menyeksa	bahagia	'-4	corp_iMxd2012_1M	stn._921197	<colloc span=-4>menyeksa</colloc> kerana padanya ada <node>bahagia</node> NA NA NA NA
tahu	bahagia	'-4	corp_iMxd2012_1M	stn._926464	<colloc span=-4>tahu</colloc> apa yang dimaksudkan <node>bahagia</node> itu dan kemana harus
dan	bahagia	'-4	corp_iMxd2012_1M	stn._926464	<colloc span=-4>dan</colloc> kemana harus mencari <node>bahagia</node> NA NA NA NA
rasain	bahagia	'-4	corp_iMxd2012_1M	stn._938457	<colloc span=-4>rasain</colloc> bukan senang dan <node>bahagia</node> tapi sedih NA NA
pendapat	bahagia	'-4	corp_iMxd2012_1M	stn._940137	<colloc span=-4>pendapat</colloc> dan itu merupakan <node>bahagia</node> dari tuhan NA NA
orang	bahagia	'-4	corp_iMxd2012_1M	stn._947034	<colloc span=-4>orang</colloc> lain timbul rasa <node>bahagia</node> NA NA NA NA
tapi	bahagia	'-4	corp_iMxd2012_1M	stn._951151	<colloc span=-4>tapi</colloc> sungguh ada binar <node>bahagia</node> di sana NA NA
yang	bahagia	'-4	corp_iMxd2012_1M	stn._963317	<colloc span=-4>yang</colloc> dirinya penuh damai <node>bahagia</node> adalah orang yang kuat
malam	bahagia	'-4	corp_iMxd2012_1M	stn._973516	<colloc span=-4>malam</colloc> ini adakah membawa <node>bahagia</node> pada sang pengembara NA
kuberi	bahagia	'-4	corp_iMxd2012_1M	stn._989510	<colloc span=-4>kuberi</colloc> kesempatan untuk berbagi <node>bahagia</node> selama ini NA NA
perasaanku	bahagia	'-4	corp_iMxd2012_1M	stn._999889	<colloc span=-4>perasaanku</colloc> padanya ada perasaan <node>bahagia</node> jika aku bertemu dengannya
subjektif	bahagia	'-4	corp_iNews2008_300K	stn._155191	<colloc span=-4>subjektif</colloc> yang mencerminkan kondisi <node>bahagia</node> dan kepuasan pada kehidupan
dipersalahkan	bahagia	'-4	corp_iNews2008_300K	stn._161575	<colloc span=-4>dipersalahkan</colloc> akan kurangnya rasa <node>bahagia</node> di antara 4 6
merasakan	bahagia	'-4	corp_iNews2010_300K	stn._21924	<colloc span=-4>merasakan</colloc> aman nyaman dan <node>bahagia</node> NA NA NA NA
inilah	bahagia	'-4	corp_iNews2010_300K	stn._116111	<colloc span=-4>inilah</colloc> yang akan membawa <node>bahagia</node> baginya NA NA NA
kesulitan	bahagia	'-4	corp_iNews2010_300K	stn._179707	<colloc span=-4>kesulitan</colloc> ujarnya dengan raut <node>bahagia</node> NA NA NA NA
bung	bahagia	'-4	corp_iNews2011_300K	stn._87637	<colloc span=-4>bung</colloc> hatta menyampaikan rasa <node>bahagia</node> dan bangga karena nama
kini	bahagia	'-4	corp_iNews2011_300K	stn._130048	<colloc span=-4>kini</colloc> sedang menjalani hidup <node>bahagia</node> NA NA NA NA
saya	bahagia	'-4	corp_iNews2011_300K	stn._136606	<colloc span=-4>saya</colloc> campur aduk sedih <node>bahagia</node> dan cemas bersatu NA
ibnu	bahagia	'-4	corp_iNews2011_300K	stn._252685	<colloc span=-4>ibnu</colloc> hadi menyampaikan perasaan <node>bahagia</node> dapat bertatap muka dengan
bahkan	bahagia	'-4	corp_iNews2012_300K	stn._36058	<colloc span=-4>bahkan</colloc> ini melewati rasa <node>bahagia</node> saat menang pada olimpiade
bahwa	bahagia	'-4	corp_iNews2012_300K	stn._119946	<colloc span=-4>bahwa</colloc> kunci dari rasa <node>bahagia</node> di dalam pekerjaan adalah
ada	bahagia	'-4	corp_iNews2012_300K	stn._215857	<colloc span=-4>ada</colloc> emosi ada rasa <node>bahagia</node> dan kepuasan tersendiri ketika
perasaan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._32068	<colloc span=-4>perasaan</colloc> haru sedih dan <node>bahagia</node> bercampur dalam diri ji-eun
kelakuan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._54815	<colloc span=-4>kelakuan</colloc> seseorang dengan perasaan <node>bahagia</node> senang dan biasanya akan
manusia	bahagia	'-4	corp_iNwsCrw2011_1M	stn._72817	<colloc span=-4>manusia</colloc> merespons sinyal rasa <node>bahagia</node> lebih cepat ketimbang kesedihan
rasa	bahagia	'-4	corp_iNwsCrw2011_1M	stn._154033	<colloc span=-4>rasa</colloc> senang gembira dan <node>bahagia</node> NA NA NA NA
misalnya	bahagia	'-4	corp_iNwsCrw2011_1M	stn._174160	<colloc span=-4>misalnya</colloc> akan mengancam rasa <node>bahagia</node> tersebut NA NA NA
rasa	bahagia	'-4	corp_iNwsCrw2011_1M	stn._189029	<colloc span=-4>rasa</colloc> haru bangga dan <node>bahagia</node> menjadi satu saat dia
mengklasifikasikan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._299437	<colloc span=-4>mengklasifikasikan</colloc> seseorang ke dalam <node>bahagia</node> atau senang NA NA
dalam	bahagia	'-4	corp_iNwsCrw2011_1M	stn._321096	<colloc span=-4>dalam</colloc> pernikahan adalah perasaan <node>bahagia</node> jawab seung woo NA
sakit	bahagia	'-4	corp_iNwsCrw2011_1M	stn._337499	<colloc span=-4>sakit</colloc> meski ada rasa <node>bahagia</node> karena juara tutur andrea
kita	bahagia	'-4	corp_iNwsCrw2011_1M	stn._343836	<colloc span=-4>kita</colloc> rasakan adalah perasaan <node>bahagia</node> NA NA NA NA
berupa	bahagia	'-4	corp_iNwsCrw2011_1M	stn._360433	<colloc span=-4>berupa</colloc> eforia hingga rasa <node>bahagia</node> NA NA NA NA
kau	bahagia	'-4	corp_iNwsCrw2011_1M	stn._448861	<colloc span=-4>kau</colloc> mungkin mengatakan merasa <node>bahagia</node> dengan kehidupan seksualmu NA
begitu	bahagia	'-4	corp_iNwsCrw2011_1M	stn._484390	<colloc span=-4>begitu</colloc> resah adalah ekspresi <node>bahagia</node> yang terlihat di wajah
kehidupan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._493434	<colloc span=-4>kehidupan</colloc> keluarga ini penuh <node>bahagia</node> dan suka cita walaupun
keyakinan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._504309	<colloc span=-4>keyakinan</colloc> bahwa kaya dan <node>bahagia</node> itu perlu modal uang
sedang	bahagia	'-4	corp_iNwsCrw2011_1M	stn._543843	<colloc span=-4>sedang</colloc> menatapnya dengan ekspresi <node>bahagia</node> NA NA NA NA
dari	bahagia	'-4	corp_iNwsCrw2011_1M	stn._544812	<colloc span=-4>dari</colloc> banyaknya pendapat mengenai <node>bahagia</node> itu NA NA NA
maka	bahagia	'-4	corp_iNwsCrw2011_1M	stn._547945	<colloc span=-4>maka</colloc> rasa puas dan <node>bahagia</node> pun akan diperoleh NA
tentu	bahagia	'-4	corp_iNwsCrw2011_1M	stn._593914	<colloc span=-4>tentu</colloc> saja rasa senang <node>bahagia</node> fresh dan mungkin terkesan
hidup	bahagia	'-4	corp_iNwsCrw2011_1M	stn._654693	<colloc span=-4>hidup</colloc> bersama dengan penuh <node>bahagia</node> NA NA NA NA
kunjung	bahagia	'-4	corp_iNwsCrw2011_1M	stn._667627	<colloc span=-4>kunjung</colloc> bermuara ke ujung <node>bahagia</node> NA NA NA NA
katie	bahagia	'-4	corp_iNwsCrw2011_1M	stn._673703	<colloc span=-4>katie</colloc> holmes akhirnya burjung <node>bahagia</node> NA NA NA NA
permainan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._700177	<colloc span=-4>permainan</colloc> tersebut dengan rasa <node>bahagia</node> NA NA NA NA
menumbuhkan	bahagia	'-4	corp_iNwsCrw2011_1M	stn._765855	<colloc span=-4>menumbuhkan</colloc> rasa senang dan <node>bahagia</node> bersama antara anak dan
memang	bahagia	'-4	corp_iNwsCrw2011_1M	stn._766115	<colloc span=-4>memang</colloc> tengah merasakan rasa <node>bahagia</node> aku nantinya bisa kembali
rasa	bahagia	'-4	corp_iNwsCrw2011_1M	stn._795995	<colloc span=-4>rasa</colloc> aman tenteram dan <node>bahagia</node> NA NA NA NA
setiap	bahagia	'-4	corp_iNwsCrw2011_1M	stn._820852	<colloc span=-4>setiap</colloc> orang menyinarkan ketenangan <node>bahagia</node> acuh di tengah padatnya
mbah	bahagia	'-4	corp_iNwsCrw2011_1M	stn._878410	<colloc span=-4>mbah</colloc> cempluk dengan ekspresi <node>bahagia</node> langsung mengakhiri acara mogok
kita	bahagia	'-4	corp_iNwsCrw2011_1M	stn._936550	<colloc span=-4>kita</colloc> kendalikan sehingga rasa <node>bahagia</node> dapat kita kendalikan NA
putus	bahagia	'-4	corp_iNwsCrw2011_1M	stn._974379	<colloc span=-4>putus</colloc> nyambung dan rasa <node>bahagia</node> NA NA NA NA
lain	bahagia	'-4	corp_iNwsCrw2011_1M	stn._981088	<colloc span=-4>lain</colloc> yang mendefinisikan arti <node>bahagia</node> NA NA NA NA
dengan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._15912	<colloc span=-4>dengan</colloc> perasaan sehat dan <node>bahagia</node> mampu menghadapi tantangan hidup
vladimir	bahagia	'-4	corp_iNwsCrw2012_1M	stn._26841	<colloc span=-4>vladimir</colloc> putin diliputi rasa <node>bahagia</node> saat kembali ke kursi
gadis	bahagia	'-4	corp_iNwsCrw2012_1M	stn._26855	<colloc span=-4>gadis</colloc> itu jauh dari <node>bahagia</node> NA NA NA NA
godaan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._39571	<colloc span=-4>godaan</colloc> duniawi mengolah rasa <node>bahagia</node> ketika memberi disiplin dan
lengan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._57632	<colloc span=-4>lengan</colloc> putrinya dengan perasaan <node>bahagia</node> untuk diberikan kepada marc
akan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._62605	<colloc span=-4>akan</colloc> meraih kesuksesan atau <node>bahagia</node> demikian status pemain timnas
pun	bahagia	'-4	corp_iNwsCrw2012_1M	stn._116868	<colloc span=-4>pun</colloc> tak kuasa menahan <node>bahagia</node> NA NA NA NA
yaitu	bahagia	'-4	corp_iNwsCrw2012_1M	stn._141007	<colloc span=-4>yaitu</colloc> dengan menebarkan rasa <node>bahagia</node> dalam dirinya NA NA
memberikan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._228375	<colloc span=-4>memberikan</colloc> perasaan sedih dan <node>bahagia</node> namun juga telah membuatnya
