COLLOCATES	WORDS	SPAN	CORPUS	SENTENCE_NUM	MATCHED_SENTENCE
sinar	bahagia	'-1	corp_iMxd2012_1M	stn._5565	<colloc span=-1>sinar</colloc> <node>bahagia</node> masih ada ja
masih	bahagia	'1	corp_iMxd2012_1M	stn._5565	sinar <node>bahagia</node> <colloc span=1>masih</colloc> ada ja
ada	bahagia	'2	corp_iMxd2012_1M	stn._5565	sinar <node>bahagia</node> masih <colloc span=2>ada</colloc> ja
ja	bahagia	'3	corp_iMxd2012_1M	stn._5565	sinar <node>bahagia</node> masih ada <colloc span=3>ja</colloc>
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._30379	<colloc span=-1>rasa</colloc> <node>bahagia</node> yang menyelinap ke lubuk hati ini serta merta hilang bila fikiranku terarah kembali pada gambar di bilik en halim itu
yang	bahagia	'1	corp_iMxd2012_1M	stn._30379	rasa <node>bahagia</node> <colloc span=1>yang</colloc> menyelinap ke lubuk hati ini serta merta hilang bila fikiranku terarah kembali pada gambar di bilik en halim itu
menyelinap	bahagia	'2	corp_iMxd2012_1M	stn._30379	rasa <node>bahagia</node> yang <colloc span=2>menyelinap</colloc> ke lubuk hati ini serta merta hilang bila fikiranku terarah kembali pada gambar di bilik en halim itu
ke	bahagia	'3	corp_iMxd2012_1M	stn._30379	rasa <node>bahagia</node> yang menyelinap <colloc span=3>ke</colloc> lubuk hati ini serta merta hilang bila fikiranku terarah kembali pada gambar di bilik en halim itu
lubuk	bahagia	'4	corp_iMxd2012_1M	stn._30379	rasa <node>bahagia</node> yang menyelinap ke <colloc span=4>lubuk</colloc> hati ini serta merta hilang bila fikiranku terarah kembali pada gambar di bilik en halim itu
penting	bahagia	'-4	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih <colloc span=-4>penting</colloc> dan itu kunci <node>bahagia</node> yang aku cari
dan	bahagia	'-3	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting <colloc span=-3>dan</colloc> itu kunci <node>bahagia</node> yang aku cari
itu	bahagia	'-2	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting dan <colloc span=-2>itu</colloc> kunci <node>bahagia</node> yang aku cari
kunci	bahagia	'-1	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting dan itu <colloc span=-1>kunci</colloc> <node>bahagia</node> yang aku cari
yang	bahagia	'1	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting dan itu kunci <node>bahagia</node> <colloc span=1>yang</colloc> aku cari
aku	bahagia	'2	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting dan itu kunci <node>bahagia</node> yang <colloc span=2>aku</colloc> cari
cari	bahagia	'3	corp_iMxd2012_1M	stn._33882	yelah kan pada aku restu family aku lebih penting dan itu kunci <node>bahagia</node> yang aku <colloc span=3>cari</colloc>
baik	bahagia	'-4	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang <colloc span=-4>baik</colloc> bagi dirinya semisal <node>bahagia</node> haqiqi menurutnya
bagi	bahagia	'-3	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang baik <colloc span=-3>bagi</colloc> dirinya semisal <node>bahagia</node> haqiqi menurutnya
dirinya	bahagia	'-2	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang baik bagi <colloc span=-2>dirinya</colloc> semisal <node>bahagia</node> haqiqi menurutnya
semisal	bahagia	'-1	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang baik bagi dirinya <colloc span=-1>semisal</colloc> <node>bahagia</node> haqiqi menurutnya
haqiqi	bahagia	'1	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang baik bagi dirinya semisal <node>bahagia</node> <colloc span=1>haqiqi</colloc> menurutnya
menurutnya	bahagia	'2	corp_iMxd2012_1M	stn._34018	tiba-tiba terbesit pertanyaan apakah manusia bisa menentukan apa yang baik bagi dirinya semisal <node>bahagia</node> haqiqi <colloc span=2>menurutnya</colloc>
